name,address,city,state,zip_code,latitude,longitude,rating,review_count,categories,price,phone,url
Larry's Smokin' Barbeque,,Fremont,CA,94536,37.56596,-121.99893,5.0,6,"Barbeque, Food Stands, Caterers",N/A,(510) 377-3809,https://www.yelp.com/biz/larrys-smokin-barbeque-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Special Noodle,6004 Stevenson Blvd,Fremont,CA,94538,37.519447,-121.989208,5.0,6,Noodles,N/A,(510) 687-1241,https://www.yelp.com/biz/special-noodle-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Classic Patio Furniture - Warehouse Outlet,1582 Zephyr Ave,Hayward,CA,94542,37.611087,-122.05951,5.0,7,Mexican,N/A,(510) 750-6055,https://www.yelp.com/biz/classic-patio-furniture-warehouse-outlet-hayward?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
HeaDQuarter’s,2086 Newpark Mall,Newark,CA,94560,37.526289836960714,-122.0013483744979,5.0,5,"Sandwiches, Food Stands",N/A,(408) 771-5408,https://www.yelp.com/biz/headquarter-s-newark-3?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Cock n' Curry - Indian Fried Chicken,,Union City,CA,94587,37.60296239816025,-122.01869041095183,5.0,5,"Chicken Shop, Sandwiches, Indian",N/A,(415) 610-9284,https://www.yelp.com/biz/cock-n-curry-indian-fried-chicken-union-city-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Carnitas Aguirre,,Union City,CA,94587,37.594789,-122.055714,5.0,35,"Caterers, Tacos, Food Trucks",N/A,(510) 755-1113,https://www.yelp.com/biz/carnitas-aguirre-union-city?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Dat Q BBQ,,Newark,CA,94560,37.5355,-122.03496,5.0,21,"Caterers, Barbeque, Food Delivery Services",N/A,(510) 386-0283,https://www.yelp.com/biz/dat-q-bbq-newark?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Estelita Food Truck,43411 Grimmer Blvd,Fremont,CA,94538,37.51056321398463,-121.9643523,4.9,10,"Food Trucks, Mexican",N/A,,https://www.yelp.com/biz/estelita-food-truck-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Mexican Taco Party Catering,,Fremont,CA,94539,37.5148444,-121.9131761,4.9,117,"Caterers, Tacos",$$,(510) 331-1363,https://www.yelp.com/biz/mexican-taco-party-catering-fremont-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Kitchen 804,1798 Whipple Rd,Union City,CA,94587,37.605539,-122.051167,4.8,64,"Burgers, Halal, Chicken Wings",N/A,(510) 634-7360,https://www.yelp.com/biz/kitchen-804-union-city?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Virasat Indian Cuisine ,31080 Union City Blvd,Union City,CA,94587,37.59580346054895,-122.08038221574434,4.8,69,Indian,N/A,(510) 400-3760,https://www.yelp.com/biz/virasat-indian-cuisine-union-city-2?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
Lucy's Crepes,39459 Fremont Blvd,Fremont,CA,94538,37.543758549000614,-121.9819813594222,4.8,69,"Creperies, Ukrainian, Russian",N/A,(510) 358-2276,https://www.yelp.com/biz/lucys-crepes-fremont?adjust_creative=GepJ5zIUri1AD57Nr1jJuQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=GepJ5zIUri1AD57Nr1jJuQ
